time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625089196,1452625107660,320.5906963068992,pie,LB20FP13,2.357552004618084,2,5,0.09090909090909091,45,60,55,18.464
1452625125804,1452625129828,24.93409655056894,exploded,LB20FP13,0.16992500144231237,5,-1,-0.014925373134328358,33,66,67,4.024
1452625114565,1452625125803,285.86726389825344,square,LB20FP13,2.0443941193584534,4,4,0.0547945205479452,27,77,73,11.238
1452625154516,1452625162932,41.32194804958999,exploded,LB20FP13,1.0874628412503393,7,-2,-0.021739130434782608,8,90,92,8.416
1452625129828,1452625154516,349.1438071243465,ellipse,LB20FP13,-3,6,0,0,20,80,80,24.688
1452625167899,1452625171619,294.79510640725493,pie,LB20FP13,2.0443941193584534,9,4,0.06451612903225806,38,66,62,3.72
1452625298067,1452625310683,270.2614323142916,exploded,LB20FP13,2.0443941193584534,31,4,0.25,84,20,16,12.616
1452625424874,1452625441192,24.814772028476,pie,LB20FP13,3.0223678130284544,49,-8,-0.09411764705882353,15,77,85,16.318
1452625358498,1452625364769,52.17950549907982,outerRadius,LB20FP13,2.8328900141647417,39,-7,-0.175,60,33,40,6.271
1452625327203,1452625333306,194.65085889212787,square,LB20FP13,2.357552004618084,34,-5,-0.2,75,20,25,6.103
1452625354795,1452625358498,12.862593596801162,outerRadius,LB20FP13,2.6147098441152083,38,-6,-0.0625,4,90,96,3.703
1452625162932,1452625167899,248.0868892930448,outerRadius,LB20FP13,1.6438561897747246,8,-3,-0.08333333333333333,64,33,36,4.967
1452625199403,1452625205034,220.89794352650642,ellipse,LB20FP13,2.6147098441152083,15,6,0.3157894736842105,81,25,19,5.631
1452625196010,1452625199403,135.484378952533,pie,LB20FP13,1.0874628412503393,14,2,0.6666666666666666,97,5,3,3.393
1452625181931,1452625186395,238.88950866647065,outerRadius,LB20FP13,2.357552004618084,11,-5,-0.13157894736842105,62,33,38,4.464
1452625171619,1452625181931,103.65624063648283,pie,LB20FP13,2.357552004618084,10,5,0.3333333333333333,85,20,15,10.312
1452625191835,1452625196010,200.73486448265612,square,LB20FP13,0.16992500144231237,13,1,0.25,96,5,4,4.175
1452625186395,1452625191834,116.05498314835131,outerRadius,LB20FP13,3.4757334309663976,12,11,0.7857142857142857,86,25,14,5.439
1452625496954,,131.69710108079016,exploded,LB20FP13,2.8328900141647417,59,7,0.5384615384615384,87,20,13,
1452625493329,1452625496953,87.82470501959324,ellipse,LB20FP13,1.6438561897747246,58,-3,-0.08333333333333333,64,33,36,3.624
1452625208026,1452625211930,249.22058519907296,square,LB20FP13,1.6438561897747246,17,3,0.05263157894736842,43,60,57,3.904
1452625205035,1452625208026,123.0889446940273,ellipse,LB20FP13,-3,16,0,0,95,5,5,2.991
1452625220075,1452625225642,162.40924196317792,pie,LB20FP13,2.0443941193584534,19,-4,-0.10810810810810811,63,33,37,5.567
